iter	Passed	Remaining
0	137	137624
1	139	69455
2	140	46565
3	141	35136
4	142	28308
5	143	23722
6	144	20449
7	145	17994
8	146	16116
9	147	14588
10	148	13336
11	149	12283
12	150	11407
13	151	10653
14	152	9990
15	152	9408
16	153	8895
17	154	8435
18	155	8024
19	156	7657
20	157	7322
21	157	7022
22	158	6746
23	159	6495
24	160	6266
25	161	6058
26	162	5861
27	163	5676
28	164	5503
29	165	5352
30	166	5205
31	167	5068
32	168	4937
33	169	4810
34	170	4689
35	170	4578
36	171	4473
37	172	4373
38	173	4280
39	175	4223
40	176	4137
41	177	4057
42	178	3978
43	179	3904
44	180	3832
45	181	3765
46	182	3701
47	183	3639
48	184	3579
49	185	3521
50	186	3465
51	187	3409
52	187	3355
53	188	3304
54	190	3268
55	191	3223
56	192	3178
57	193	3136
58	194	3094
59	194	3052
60	195	3014
61	196	2976
62	197	2940
63	198	2904
64	199	2868
65	200	2832
66	200	2798
67	201	2765
68	202	2733
69	203	2703
70	204	2678
71	205	2651
72	206	2623
73	207	2596
74	208	2569
75	209	2544
76	210	2519
77	211	2495
78	212	2471
79	212	2447
80	213	2424
81	214	2401
82	214	2374
83	215	2352
84	216	2331
85	217	2311
86	218	2290
87	219	2274
88	220	2258
89	221	2240
90	222	2224
91	223	2206
92	224	2190
93	225	2176
94	226	2161
95	227	2145
96	228	2128
97	229	2112
98	230	2096
99	231	2081
100	232	2066
101	233	2051
102	234	2044
103	235	2031
104	236	2017
105	237	2004
106	238	1991
107	239	1978
108	240	1964
109	241	1950
110	241	1937
111	242	1924
112	243	1912
113	244	1899
114	245	1888
115	246	1876
116	246	1863
117	247	1852
118	248	1842
119	250	1834
120	251	1824
121	251	1812
122	252	1801
123	253	1791
124	254	1780
125	255	1770
126	255	1758
127	256	1749
128	257	1739
129	258	1730
130	259	1720
131	260	1710
132	260	1701
133	261	1691
134	262	1682
135	263	1673
136	264	1666
137	265	1658
138	266	1650
139	267	1643
140	268	1635
141	269	1625
142	269	1616
143	270	1608
144	271	1600
145	272	1592
146	272	1584
147	273	1575
148	274	1568
149	275	1561
150	276	1553
151	277	1545
152	277	1538
153	278	1532
154	279	1526
155	281	1521
156	282	1515
157	283	1508
158	283	1502
159	284	1495
160	285	1487
161	286	1481
162	287	1476
163	288	1470
164	289	1463
165	290	1458
166	291	1451
167	291	1445
168	292	1439
169	294	1437
170	295	1432
171	296	1426
172	297	1420
173	298	1415
174	299	1410
175	299	1404
176	300	1398
177	301	1393
178	302	1388
179	303	1382
180	304	1376
181	305	1370
182	305	1365
183	306	1360
184	307	1354
185	308	1350
186	309	1345
187	310	1340
188	311	1335
189	312	1330
190	313	1326
191	313	1321
192	314	1316
193	315	1311
194	316	1306
195	317	1301
196	318	1296
197	318	1292
198	319	1287
199	320	1282
200	321	1278
201	322	1273
202	323	1270
203	324	1266
204	325	1261
205	326	1257
206	326	1252
207	327	1247
208	328	1243
209	329	1239
210	330	1234
211	331	1230
212	331	1226
213	332	1222
214	333	1217
215	334	1213
